Item, Quantity Needed, Cost of product, Source Link
ESP-8266 01, 2 (they tend to be faulty), $3, https://www.amazon.in/Robodo-MO16-Esp8266-Wireless-Transceiver/dp/B073Q2X8G7/ref=sr_1_4?crid=1DXBTVE6IKD2W&dib=eyJ2IjoiMSJ9.6eegffVvgcsphIBRK2TPHRJqvPSfLKBWBk-ZbQ1kzfJUtqMEwZyCLYhAzj1uRi0B4k75CrwJwJRk-JKuFUsC35vxdDD5IYQeIYYTJe1vfMYCcYCdeazXfBZ5VWGljYitPwCZ_61m9yFy0GAnL1rxDaGFsSW12RAuvhzoPvKkMFcMPtJnmzDf49c9DhFJJrYLVH95yqTk8SaLvOo069Ax8gOYI27ZBibkSCRZzfVXHpY.rWeEMMQgIDv2QtCWnxXHz45IayzSwTGY2eanFHxe82Q&dib_tag=se&keywords=ESP-8266+01&qid=1782792258&sprefix=esp-8266+01%2Caps%2C261&sr=8-4
AA Batteries, 12, $6, https://www.amazon.in/Duracell-AA-High-Drain-Electric-Toothbrush/dp/B01DJJVF1Q/ref=sr_1_1?crid=LGRYA16WZH5W&dib=eyJ2IjoiMSJ9.xz1ubp-my5X6ea_15gZjegXfKaQ3iJmTkpr6X9Tl3JJLsOFyGvH3SHw5f6wu_34LGoTZiIfl2Kz-2LSVCtH_JkveHoZFLF6BLCKADT0TXH48oEmpMILmXyBgFmLiqGJKXGrZWeW1oAXDYUFQANM656vpaTppBqcfc9OCSYgyrr7z4wpfgPgz29a-Md8HmJmYs_m4yYYILZmWsh_ktnGfnvfkn3-xPn8f1RE_YxRGdZ4.1ZOkPf6BMn3CLKbOnMhs8iowdyY4pddn2iLckdsHJ0E&dib_tag=se&keywords=duracell+aa+battery+ultra+12&qid=1782792296&sprefix=duracell+aa+battery+ultra+%2Caps%2C277&sr=8-1
Battery Enclosure + Wires, 1, $2, https://www.amazon.in/Electronic-Spices-Battery-Plastic-7-4volt/dp/B0BFWFKGHW/ref=sr_1_6?crid=3TNJ79UVT5WVE&dib=eyJ2IjoiMSJ9.fZVxkaamDoKRee1SYtiR2g6UbwpUijX8oOJCS-H3HZmHc3xgduKTcagN1B81oxq4j8Ms6oDzxK8wKOD8MlYSF96qHncZbmthC2dyhYym3UxbsRXYcNM2IsCaibjo6x8Nx_HmpOuJnHOLsqHdHvm9u8A3j654jZpIa9QGOdfnbtxmFWunkAkIUvOnSCgFe_ZzUP7VVtmcV0H3iA-LXf6DmwxAJCZ7CzCvv1enL8yWeW1tiVE4y0XEFLR0o_nRPCygY1H0GIgV3WnLMDXvlzM-ykJ4ko_wLiYZgrr-iYIPTYM.ceH0asqEJ7fITfrx9VVDPMLk5Ghz6hr25q9ipfuaMLc&dib_tag=se&keywords=battery+holder+with+cover&qid=1782792316&sprefix=battery+holder+with+cov%2Caps%2C322&sr=8-6
3.5 mm mono (TS) jack, 1, $5, https://www.amazon.in/ECOMISTIQ%C2%AE-Connector-Interconnects-Accessories-Electronics/dp/B0GZ483Y6D
Switch, 1, $3, https://www.amazon.in/Electronic-Spices-Toggle-Position-Miniature/dp/B09WDKT8DK/ref=srd_d_psims_d_sccl_2_1/257-8741287-8008854?pd_rd_w=nUfX4&content-id=amzn1.sym.6b3aa144-fd3f-4cac-9ae1-ac2407bcccc2&pf_rd_p=6b3aa144-fd3f-4cac-9ae1-ac2407bcccc2&pf_rd_r=4Q2ZW9XKWPR2JX7TPB02&pd_rd_wg=8CFrn&pd_rd_r=e15a4d57-fc02-4c0a-8311-dcf53c70cd9d&pd_rd_i=B09WDKT8DK&psc=1
Soldering Iron kit, 1, $15, https://www.amazon.in/ElectroSea-Soldering-80W-Adjustable-Desoldering/dp/B0GWFR2LL5/ref=sr_1_21?crid=2N3CTPKAVMRDJ&dib=eyJ2IjoiMSJ9.qr0rhfmsNDG7vPDcZ03gTKM_7caEEbeHv8ewpSGsXVg9vONE1G2bgS9wIDUPClP2mYAiysQMpDmhqbl0YkhtJjtO6vGrxrsCuJNiRyqvNlOGSUPcFHQoc3J-sz3Kh8b8Mb3Juw3ZysLXDZRftzDUSi1PkuHiZyO2b9cYqgE-kX-y-jWzefXU0BmFYfhKhDWYctr1tiK-B0H3KdDvzQwi17eECEcTZ-_PwLB28r7whoAX7Vlf9c6tcNXwy02vGHkarql6U4VFi4vOagBDsJZs079dBTlHN-xO9SU5h5X_axQ.9A4AllA9huqJUjdh0NMazJCKZECte-CPsZRCAu4Pam0&dib_tag=se&keywords=soldering+iron+kit&qid=1782792535&s=industrial&sprefix=soldering+iron+%2Caps%2C366&sr=1-21
Soldering Paste (Flux), 1, $5, https://www.amazon.in/TOWOT-Solder-Soldering-Paste-Electronics/dp/B0CNVM1KRT/ref=sr_1_11?crid=2J3WPMYX32ENU&dib=eyJ2IjoiMSJ9.3LnHtkOmsYP9kAktSnyRimif5J34yYXiB-0DjFEbHsJYk7Ol0B8gpXT3JYwHjL-fTVkA_D4utgivVVc8qwmJtDIbT1--lW-JA7g24U6wdQoTKNJHEWPtRxU9Yt6PtO3Mdv3X4YrMMS0R5TDnaNAHkU6SzZYRpDXRr0_OHGApTN5TRFxy_GEZtTT3cMqB9KpWfPK4DHJI-ur7WRbmQQa6KjOj7SNDrSC982aeO8KIi4UVW3laBUNYe2W9F0vSAxHS0DLTtvDn469ITXbbhKDCviZOuIeGTrim3kmcCqWHZ04.x3FbsmAEJzmMYcaySSIbDFR1b7-ByQrTgtMblDqk9W4&dib_tag=se&keywords=soldering+flux&qid=1782792668&s=industrial&sprefix=soldering+flu%2Caps%2C362&sr=1-11
Soldering wire, 1, $5, https://www.amazon.in/GREENARTZ-Soldering-core-Aluminium-Copper/dp/B0BNLQX91R/ref=sr_1_4?crid=1YW36CMFZHUWD&dib=eyJ2IjoiMSJ9.iNigDScmjMguTWYBTOh77iSzW9MWwLEBe3sfckflYowTKr0QeQz9cY60D80uIiWOEAHDNdoM8ttvdO9ZSQd9sCrlgKtZsFuJqoaKoZCVvWqPagEeaXQoK5MvfE_R6a3aI67wj8Vnjb20EbxmZluLizjlqmuv8f9NIWLNAr5i9dIl8fCR7f6AhtNoPQcbzpd3eqRRtIiFlwYqvvfsrA1DN6CROmXVB3p3x7iU1xQfs8JQjBpcuGR9U5CjKrxdQvC7NUDeD5bKlzh_88YTyqwZIHdpwAZ7aDmDSJ31UwP4nTQ.TI6qNiEwRMnyBmn6UAdKfOU5NfOpnXV4WWsQMebEQjU&dib_tag=se&keywords=lead+free+soldering+wire&qid=1782792727&s=industrial&sprefix=lead+free+soldering+w%2Caps%2C355&sr=1-4
Soldering Helping hands, 1, $5, https://www.amazon.in/Robocraze-Magnifier-Soldering-Adjustable-Electronics/dp/B0GQ46HFNJ/ref=sr_1_6?crid=12V2HETGJQ5RN&dib=eyJ2IjoiMSJ9.2iHWsp7n220KinKgxUh9MrHDZ6m6A0GVs2AGyfkGdUk_VNLmVzX84rEvwYXjudTgglM6fRNc7hawuO5u_vOykhPbouQCz1y4gKCxMsRKoh68bbBsM-85MIl1o7PNShsOWWgfwnEYHdZ5GXK3CGlhfNtG_34lrOOyDxdn66KFe4E04h82PQZZPnzkQLi3zt23Y2Rc_z54GQ-MXD1_nJdNmzbyi2XQ40NgCFq86uGf-hSzEq8slHibqoUpNIcm1x8gDACtdNk6OoDH_RXhpt3U1TJsG2fSg7Zh3Lo2w31MJu0.PURI3eN7F8i0mL2MzR2oGun1dVQ-pFyVh5DnKTcECGo&dib_tag=se&keywords=magnetic+soldering+stand&qid=1782792757&sprefix=magnetic+soldering%2Caps%2C351&sr=8-6
Wires, 1, $4, https://www.amazon.in/ElectronicSpices-Electric-Science-Projects-Building/dp/B081Z8CY53/ref=sr_1_6?crid=1BQF63GFWVKXV&dib=eyJ2IjoiMSJ9.s5IxOjjDKGQv2sFfy8s298Wlqxeb0O-BjSdUJ-O7eAfV53MMtD_nzgxIzlWxMNdqPu5-UWfIX6sOav0NQ9REBECyRn9_vw3jj7qLc2SVOZONwAf-hHBGbz3bWRMrgUlmdwsWKuLw7aR_WgFf7589IjKTHgODF9UWUtvwBKQNxbyHdtosUtzaDrt_HqFu9IdTEZEW1F2xuJXNkfDMBldJRg02AdIn-p7VCw8TNzji5lJNfOXG6iVjpuyAgHrwyy_jlGR0oxIA87kVDbel_YNEYF81CEQZNCgHVAgac-DJg5c.gLS8S0JuQt13vtCFTJYv7ODkp4Xdws25xeWUBHn88WA&dib_tag=se&keywords=wiring&qid=1782792831&sprefix=wiring%2Caps%2C354&sr=8-6
Electrode Pads (Similar to TENS pads), Pack of 2, $12, https://www.amazon.in/NEYMA-Adhesive-Electrode-Electronic-Stimulator/dp/B08XYXS3MN/ref=pd_bxgy_d_sccl_2/257-8741287-8008854?pd_rd_w=slIjH&content-id=amzn1.sym.e933bed8-66b5-4e19-9aeb-b2834144fba3&pf_rd_p=e933bed8-66b5-4e19-9aeb-b2834144fba3&pf_rd_r=B39GX70BNTRVXVATCHX4&pd_rd_wg=0J6nP&pd_rd_r=713040e4-c74a-403c-81cb-b3c502c78453&pd_rd_i=B08XYXS3MN&th=1
Electrode Wires, 1, $13, https://www.amazon.in/KONMED-Electrode-Standard-Connection-Long-life/dp/B00P67NIQ0/ref=sr_1_7?crid=1YL8UEGHZFARD&dib=eyJ2IjoiMSJ9.QF7eW2ThhHzYW4QsoH9DYF81zMrEzF5MjkMLlXDBg-ebHmJ0GtwDc7mBRJTELjgHjw8qXI_29ADScXmZEtxg-jTfNpN6JggIcky7dFyqsI1BE-MzT8LM-E41WuLVp1CH7XqdrRYv_e0_0or0fb9XQstDxI41l9pLXaf4Jr0HW7JmY08SWKthdwmMwqgADSxye7XcsibhXbRoRVxMQDi0VkBYuCU3wjdzgukCJ4GRyjcGueFD5Zh5gyfbI22nHfQRRgAGLRlYN54mUNrNbimhy6o8HMPhLbGiiy4z6Tpunjs.tqZuMt8RNqmxnXKG72VfqSRcKBEemPgaVqymeVq7vC0&dib_tag=se&keywords=tens+wire+3.5&qid=1782793462&sprefix=tens+wire+3.%2Caps%2C344&sr=8-7
Jumper Wires, 1, $2.5, https://www.amazon.in/Aptechdeals-Jumper-Wires-Female-Breadboard/dp/B074JB6SX8/ref=sr_1_5?crid=BO4LGO0CR8Q1&dib=eyJ2IjoiMSJ9.NpiqG_GJTt7YLKhI8CJENzBT-AONUVC3i7a4dg_bqNgPHyvEoDGLuHGwR5j80AF-5TP3rmUCKsHYdfawdYsrt5mvD3h3m8M8ISYibWhGd4XBQuc0MYITD4xNQVzup0C8qrkQ3Qxbmhplp5miXW9oPahGQuoABW6_rtgMkM-w0tAqRNDIfoat6QQeiHjj44THArzSKIajRd_U3XFaBLJIZSpa2Q4GekXQy-3cSFDX8AUEIFXb0uYCkw1iKsXa_eosI16jsIjsSstoh2iwcFqZO7hiK2K0g7ZAFTboIpQ6-B0.yZtjPv15426mnZ16qgZ56vsYxFGnOAxLaD9cqFqUZoo&dib_tag=se&keywords=jumper+wires&qid=1782793538&sprefix=jumper+%2Caps%2C420&sr=8-5
Expedited Shipping for PCB, -, $26
Total,, ~$146
